Name,Street,City,State,Zip,Phone,Website,Type,Awards,Campus_setting,Campus_housing,Student_population,Student_to_faculty_ratio
Abilene Christian University,,Abilene, Texas,79699,(325) 674-2000,http://nces.ed.gov/transfer.asp?location=www.acu.edu/,"4-year, Private not-for-profit","Associates degree, Bachelors degree, Postbaccalaureate certificate, Masters degree, Post-masters certificate, Doctors degree - research/scholarship, Doctors degree - other",City: Midsize,Yes,"5,291 (3,494 undergraduate)",13 to 1
Academy of Careers and Technology,390 Stanaford Rd, Beckley, West Virginia,25801,(304) 256-4615 x302,http://nces.ed.gov/transfer.asp?location=www.wvact.net/,"< 2-year, Public","Less than one year certificate, One but less than two years certificate",City: Small,No,180 (all undergraduate),14 to 1
Academy of Hair Technology,3715 E North St Ste F, Greenville, South Carolina,29615-2363,(864) 322-0300,http://nces.ed.gov/transfer.asp?location=www.hairchamps.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",Suburb: Large,No,28 (all undergraduate),14 to 1
Academy of Chinese Culture and Health Sciences, 1600 Broadway  Ste. 200, Oakland, California,94612,(510) 763-7787 x0,http://nces.ed.gov/transfer.asp?location=www.acchs.edu/,"4-year, Private not-for-profit","Masters degree, Doctors degree - research/scholarship",City: Large,No,97 (0 undergraduate),
Abraham Baldwin Agricultural College,2802 Moore Hwy, Tifton, Georgia,31793-2601,(229) 391-5001,http://nces.ed.gov/transfer.asp?sec=true&location=www.abac.edu/,"4-year, primarily associate's, Public","Associates degree, Bachelors degree",Town: Distant,Yes,"3,990 (all undergraduate)",19 to 1
Academy of Interactive Entertainment,537 Cajundome Boulevard #211, Lafayette, Louisiana,70506-4293,(337) 205-6604,http://nces.ed.gov/transfer.asp?location=www.lafayette.aie.edu/,"2-year, Private not-for-profit","Associates degree, Two but less than 4 years certificate",City: Midsize,No,112 (all undergraduate),22 to 1
Academy of Cosmetology,2088 N. Courtenay Parkway, Merritt Island, Florida,32953,(321) 452-8490,http://nces.ed.gov/transfer.asp?location=academyofcosmetology.edu/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",Suburb: Large,No,113 (all undergraduate),16 to 1
Academy of Interactive Entertainment,305 Harrison St Ste 405, Seattle, Washington,98109-4623,(206) 428-6350,http://nces.ed.gov/transfer.asp?sec=true&location=seattle.aie.edu/,"2-year, Private not-for-profit",Two but less than 4 years certificate,City: Large,No,135 (all undergraduate),27 to 1
Abraham Lincoln University, 100 West Broadway  Suite 600, Glendale, California,91210,(213) 252-5100,http://nces.ed.gov/transfer.asp?sec=true&location=www.alu.edu/,"4-year, Private for-profit","Less than one year certificate, One but less than two years certificate, Associates degree, Bachelors degree, Postbaccalaureate certificate, Masters degree, Doctors degree - research/scholarship, Doctors degree - professional practice",City: Midsize,No,265 (69 undergraduate),3 to 1
Academy of Cosmetology and Esthetics NYC,187 New Dorp Ln, Staten Island, New York,10306,(718) 979-9001,http://nces.ed.gov/transfer.asp?location=paulmitchell.edu/nyc,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,35 (all undergraduate),10 to 1
Academy of Massage and Bodywork,1218 Pulaski Hwy Ste 324, Bear, Delaware,19701,(302) 392-6768,http://nces.ed.gov/transfer.asp?location=www.massage-academy.com/,"< 2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,94 (all undergraduate),8 to 1
Academia Serrant Inc,7033 Mendez Vigo, Ponce, Puerto Rico,00717-1250,(787) 259-4900,http://nces.ed.gov/transfer.asp?location=www.serrant.edu/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",City: Midsize,No,157 (all undergraduate),20 to 1
Academy of Natural Therapy Inc,625 8th Ave, Greeley, Colorado,80631-9441,(970) 352-1181,http://nces.ed.gov/transfer.asp?location=www.natural-therapy.com/,"< 2-year, Private for-profit",Less than one year certificate,City: Midsize,No,41 (all undergraduate),9 to 1
Academy of Cosmetology Inc,133 W Mendenhall, Bozeman, Montana,59715-3544,(406) 587-1265,http://nces.ed.gov/transfer.asp?location=www.academycosmetology.com/,"< 2-year, Private for-profit",One but less than two years certificate,Town: Remote,No,33 (all undergraduate),17 to 1
Academy College, 1600 W. 82nd Street  Suite 100, Bloomington, Minnesota,55431-1411,(952) 851-0066,http://nces.ed.gov/transfer.asp?location=www.academycollege.edu/,"4-year, Private for-profit","Associates degree, Bachelors degree",City: Small,No,95 (all undergraduate),11 to 1
Academy of Professional Cosmetology,2600 West Hudson Road Suite A, Rogers, Arkansas,72756-2028,(479) 246-0046,http://nces.ed.gov/transfer.asp?location=www.apcschools.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",City: Small,No,115 (all undergraduate),30 to 1
Academy of Esthetics and Cosmetology,1242 San Fernando Rd, San Fernando, California,91340-3212,(818) 361-5501,http://nces.ed.gov/transfer.asp?location=www.aecosmetology.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",Suburb: Large,No,24 (all undergraduate),25 to 1
Academy Di Capelli-School of Cosmetology,950 Yale Ave Unit 20, Wallingford, Connecticut,06492,(203) 294-9496 x0,http://nces.ed.gov/transfer.asp?location=www.academydicapelli.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",Suburb: Large,No,196 (all undergraduate),8 to 1
Academy di Firenze,149 West Main Street, Jerome, Idaho,83338-2329,(208) 644-1546,http://nces.ed.gov/transfer.asp?location=www.academydifirenze.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",Town: Remote,No,15 (all undergraduate),8 to 1
Academy for Careers and Technology,2697 E Hwy 76, Mullins, South Carolina,29574-6009,(843) 423-1941,http://nces.ed.gov/transfer.asp?location=www.mcact.org/,"< 2-year, Public",One but less than two years certificate,Rural: Fringe,No,58 (all undergraduate),10 to 1
Academy of Salon Professionals,2414 S. Limit Ave, Sedalia, Missouri,65301,(660) 827-4500,http://nces.ed.gov/transfer.asp?location=www.academyofsalonprofessionals.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",Town: Remote,No,44 (all undergraduate),15 to 1
Academy of Salon and Spa,311 S 16th St, Fort Smith, Arkansas,72901,(479) 782-5059,http://nces.ed.gov/transfer.asp?location=www.academysalonspa.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",City: Small,No,53 (all undergraduate),20 to 1
Academy of Vocal Arts,1920 Spruce St, Philadelphia, Pennsylvania,19103-6685,(215) 735-1685,http://nces.ed.gov/transfer.asp?location=www.avaopera.org/,"4-year, Private not-for-profit",Postbaccalaureate certificate,City: Large,No,24 (0 undergraduate),
Adrian's Beauty College of Turlock,1340 W Main St, Turlock, California,95380,(209) 632-2233,http://nces.ed.gov/transfer.asp?location=www.adrians.edu/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",Suburb: Small,No,85 (all undergraduate),10 to 1
Acaydia School of Aesthetics, 86 North University Avenue  Suite 130, Provo, Utah,84601-0000,(801) 377-0025 x3,http://nces.ed.gov/transfer.asp?location=www.acaydia.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",City: Midsize,No,133 (all undergraduate),10 to 1
Adult and Community Education-Hudson,2323 Lexington Avenue, Columbus, Ohio,43211,(614) 365-6000,http://nces.ed.gov/transfer.asp?sec=true&location=www.ccsoh.us/site/default.aspx?pageid=334,"< 2-year, Public",One but less than two years certificate,City: Large,No,81 (all undergraduate),9 to 1
Adult and Continuing Education-BCTS,190 Hackensack Avenue, Hackensack, New Jersey,07601-6637,(201) 343-6000 x2288,http://nces.ed.gov/transfer.asp?location=bcts.bergen.org/index.php/adedprograms/full-time-adult-day-program,"< 2-year, Public","Less than one year certificate, One but less than two years certificate",Suburb: Large,No,60 (all undergraduate),15 to 1
Access Careers, 474 Fulton Avenue  Suite 201, Hempstead, New York,11550-0000,(516) 433-0034,http://nces.ed.gov/transfer.asp?location=www.accesscareers.net/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",Suburb: Large,No,125 (all undergraduate),20 to 1
Advantage Technical College,3 Ramos Velez St, Manati, Puerto Rico,00674,(787) 854-4776,http://nces.ed.gov/transfer.asp?sec=true&location=www.adtecpr.com/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,512 (all undergraduate),48 to 1
Advance Beauty College,10121 Westminster Ave, Garden Grove, California,92843,(714) 530-2131,http://nces.ed.gov/transfer.asp?location=www.advancebeautycollege.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",Suburb: Large,No,464 (all undergraduate),30 to 1
Advantage Technical College,Ponce de Leon Avenue #818, San Juan, Puerto Rico,00907-0000,(787) 908-1000,http://nces.ed.gov/transfer.asp?sec=true&location=www.adtecpr.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,486 (all undergraduate),63 to 1
Access Careers-Islandia, 1930 Veterans Highway  Suite 10, Islandia, New York,11749-1599,(631) 630-9410,http://nces.ed.gov/transfer.asp?location=www.accesscareers.net/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",Suburb: Large,No,89 (all undergraduate),13 to 1
Advance Beauty Techs Academy,641 N State St Ste 1, San Jacinto, California,92583-6572,(951) 487-8751,http://nces.ed.gov/transfer.asp?location=www.abt.edu/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",City: Midsize,No,110 (all undergraduate),20 to 1
Ace Cosmetology and Barber Training Center,625 Wolcott Street  Suite 7, Waterbury, Connecticut,06705,(203) 879-9989,http://nces.ed.gov/transfer.asp?location=acetrainingcenters.com/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Midsize,No,71 (all undergraduate),15 to 1
Advantage Technical College-Aguadilla,#7 Jose de Jesus Estevez Street, Aguadilla, Puerto Rico,00603-0000,(787) 658-1667,http://nces.ed.gov/transfer.asp?sec=true&location=www.adtecpr.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Small,No,169 (all undergraduate),42 to 1
Advance Science International College,5190 nw 167 st STE 200, Miami Lakes, Florida,33014,(305) 626-6004,http://nces.ed.gov/transfer.asp?location=www.asicollege.edu/,"2-year, Private for-profit",Associates degree,Suburb: Large,No,53 (all undergraduate),15 to 1
AdventHealth University,671 Winyah Drive, Orlando, Florida,32803,(407) 303-7742,http://nces.ed.gov/transfer.asp?location=www.ahu.edu/,"4-year, Private not-for-profit","Less than one year certificate, Associates degree, Bachelors degree, Masters degree, Doctors degree - professional practice",City: Large,Yes,"1,802 (1,249 undergraduate)",7 to 1
Advanced Barber College and Hair Design,2818 S International, Weslaco, Texas,78596,(956) 969-0341,http://nces.ed.gov/transfer.asp?location=abcrgv.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",Suburb: Large,No,182 (all undergraduate),20 to 1
Aesthetic Science Institute,922 Troy-Schenectady Road, Latham, New York,12110-1095,(518) 786-0760,http://nces.ed.gov/transfer.asp?location=www.aestheticscienceinstitute.edu/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",Suburb: Large,No,79 (all undergraduate),16 to 1
Ace Institute of Technology, 312 West 36 Street  2nd Floor, New York, New York,10018,(212) 695-9700,http://nces.ed.gov/transfer.asp?location=www.acecareer.edu/,"2-year, Private for-profit","One but less than two years certificate, Two but less than 4 years certificate",City: Large,No,204 (all undergraduate),11 to 1
Advanced Beauty College,3959 N. Beltline Rd., Irving, Texas,75038,(214) 492-2076,http://nces.ed.gov/transfer.asp?location=www.advancedbeautycollege.net/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",City: Midsize,No,15 (all undergraduate),4 to 1
Advanced Career Institute,1243 N. Clancy Street, Visalia, California,93291,(559) 651-1978,http://nces.ed.gov/transfer.asp?sec=true&location=advanced.edu/,"< 2-year, Private for-profit",Less than one year certificate,City: Midsize,No,670 (all undergraduate),14 to 1
Agnes Scott College,141 E. College Ave., Decatur, Georgia,30030-3770,(404) 471-6000,http://nces.ed.gov/transfer.asp?location=www.agnesscott.edu/,"4-year, Private not-for-profit","Bachelors degree, Postbaccalaureate certificate, Masters degree",Suburb: Large,Yes,"1,080 (1,014 undergraduate)",11 to 1
Advanced College,13180 Paramount Blvd., South Gate, California,90280,(562) 408-6969,http://nces.ed.gov/transfer.asp?location=www.advancedcollege.edu/,"2-year, Private for-profit","Less than one year certificate, One but less than two years certificate, Associates degree",Suburb: Large,No,59 (all undergraduate),6 to 1
Acupuncture and Integrative Medicine College-Berkeley,2550 Shattuck Avenue, Berkeley, California,94704,(510) 666-8248 x103,http://nces.ed.gov/transfer.asp?sec=true&location=www.aimc.edu/,"4-year, Private not-for-profit","Masters degree, Doctors degree",City: Midsize,No,99 (0 undergraduate),
AI Miami International University of Art and Design, 1501 Biscayne Boulevard  Suite 100, Miami, Florida,33132-1418,(305) 428-5700,http://nces.ed.gov/transfer.asp?location=www.artinstitutes.edu/miami/,"4-year, Private for-profit","One but less than two years certificate, Associates degree, Bachelors degree, Masters degree",City: Large,No,934 (874 undergraduate),17 to 1
Acupuncture and Massage College,10506 N Kendall Drive, Miami, Florida,33176,(305) 595-9500,http://nces.ed.gov/transfer.asp?location=www.amcollege.edu/,"4-year, primarily associate's, Private for-profit","Less than one year certificate, Associates degree, Bachelors degree, Masters degree",City: Small,No,171 (41 undergraduate),24 to 1
Aiken School of Cosmetology and Barbering,225 Richland Ave East, Aiken, South Carolina,29801,(803) 644-7133,http://nces.ed.gov/transfer.asp?location=www.ascandb.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",Suburb: Large,No,74 (all undergraduate),20 to 1
Advanced College of Cosmetology,25 West Main Street, Waupun, Wisconsin,53963-0000,(920) 324-3427,http://nces.ed.gov/transfer.asp?location=www.accsuccess.com/,"< 2-year, Private for-profit",One but less than two years certificate,Town: Distant,No,27 (all undergraduate),5 to 1
Aiken Technical College,2276 Jefferson Davis Highway, Graniteville, South Carolina,29829,(803) 508-7263,http://nces.ed.gov/transfer.asp?sec=true&location=www.atc.edu/,"2-year, Public","Less than one year certificate, One but less than two years certificate, Associates degree",Rural: Fringe,No,"1,925 (all undergraduate)",11 to 1
Adams State University,208 Edgemont Blvd, Alamosa, Colorado,81101,(719) 587-7011,http://nces.ed.gov/transfer.asp?location=www.adams.edu/,"4-year, Public","Associates degree, Bachelors degree, Masters degree, Doctors degree - research/scholarship",Town: Remote,Yes,"3,164 (1,902 undergraduate)",13 to 1
Advanced Technology Institute,5700 Southern Blvd Ste 100, Virginia Beach, Virginia,23462,(757) 490-1241,http://nces.ed.gov/transfer.asp?location=www.auto.edu/,"2-year, Private for-profit","Less than one year certificate, One but less than two years certificate, Associates degree",City: Large,No,461 (all undergraduate),14 to 1
Aims Community College,5401 W. 20th St., Greeley, Colorado,80634,(970) 330-8008,http://nces.ed.gov/transfer.asp?location=www.aims.edu/,"2-year, Public","Less than one year certificate, One but less than two years certificate, Associates degree",City: Midsize,No,"5,981 (all undergraduate)",15 to 1
Adelphi University,South Ave, Garden City, New York,11530-0701,(516) 877-3000,http://nces.ed.gov/transfer.asp?location=www.adelphi.edu/,"4-year, Private not-for-profit","One but less than two years certificate, Associates degree, Bachelors degree, Postbaccalaureate certificate, Masters degree, Post-masters certificate, Doctors degree - research/scholarship, Doctors degree - professional practice",Suburb: Large,Yes,"7,584 (5,124 undergraduate)",12 to 1
Advanced Training Institute,5150 S. Decatur Blvd., Las Vegas, Nevada,89118-1519,(702) 658-7900,http://nces.ed.gov/transfer.asp?location=www.atitraining.edu/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",City: Midsize,No,605 (all undergraduate),10 to 1
Air Force Institute of Technology-Graduate School of Engineering & Management,2950 Hobson Way, Wright-Patterson AFB, Ohio,45433-7765,(937) 255-3636,http://nces.ed.gov/transfer.asp?location=www.afit.edu/,"4-year, Public","Postbaccalaureate certificate, Masters degree, Doctors degree - research/scholarship",Suburb: Large,No,"1,129 (0 undergraduate)",
Adler Graduate School,10225 Yellow Circle Dr., Minnetonka, Minnesota,55343,(612) 861-7554,http://nces.ed.gov/transfer.asp?location=www.alfredadler.edu/,"4-year, Private not-for-profit","Masters degree, Post-masters certificate",City: Small,No,267 (0 undergraduate),
Advanced Welding Institute,2 Green Tree Dr Suite 3, South Burlington, Vermont,05403,(802) 660-0600,http://nces.ed.gov/transfer.asp?location=www.awi.edu/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",City: Small,No,66 (all undergraduate),11 to 1
Alabama A & M University,4900 Meridian Street, Normal, Alabama,35762,(256) 372-5000,http://nces.ed.gov/transfer.asp?location=www.aamu.edu/,"4-year, Public","Bachelors degree, Masters degree, Post-masters certificate, Doctors degree - research/scholarship",City: Midsize,Yes,"5,977 (5,093 undergraduate)",18 to 1
Advantage Career Institute,2 Meridian Road, Eatontown, New Jersey,07724,(732) 440-4110,http://nces.ed.gov/transfer.asp?location=www.aci.edu/,"< 2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,77 (all undergraduate),18 to 1
Adler University,17 North Dearborn Street, Chicago, Illinois,60602,(312) 662-4000,http://nces.ed.gov/transfer.asp?sec=true&location=www.adler.edu/,"4-year, Private not-for-profit","Masters degree, Post-masters certificate, Doctors degree - research/scholarship, Doctors degree - professional practice",City: Large,No,"1,726 (0 undergraduate)",
Adrian College,110 S Madison St, Adrian, Michigan,49221-2575,(517) 265-5161,http://nces.ed.gov/transfer.asp?location=www.adrian.edu/,"4-year, Private not-for-profit","Less than one year certificate, Associates degree, Bachelors degree, Postbaccalaureate certificate, Masters degree",Town: Distant,Yes,"1,865 (1,788 undergraduate)",14 to 1
Alabama State University,915 S Jackson Street, Montgomery, Alabama,36104-0271,(334) 229-4100,http://nces.ed.gov/transfer.asp?location=www.alasu.edu/,"4-year, Public","Bachelors degree, Postbaccalaureate certificate, Masters degree, Post-masters certificate, Doctors degree - research/scholarship, Doctors degree - professional practice",City: Midsize,Yes,"4,072 (3,614 undergraduate)",15 to 1
Alabama College of Osteopathic Medicine,445 Health Sciences Boulevard, Dothan, Alabama,36303-2251,(334) 699-2266,http://nces.ed.gov/transfer.asp?sec=true&location=www.acom.edu/,"4-year, Private not-for-profit",Doctors degree - professional practice,Rural: Fringe,No,705 (0 undergraduate),
Adrian H. Wallace Barber Academy,3822 North 9th Avenue, Pensacola, Florida,32503-2802,(443) 564-3005,http://nces.ed.gov/transfer.asp?sec=true&location=www.ahwbarberacademy.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Small,No,30 (all undergraduate),10 to 1
Alabama School of Nail Technology & Cosmetology,202 Commerce Street, Jackson, Alabama,36545-2718,(251) 246-9992,http://nces.ed.gov/transfer.asp?location=www.alabamaschoolofnailtechnology.com/,"< 2-year, Private for-profit",One but less than two years certificate,Town: Remote,No,25 (all undergraduate),20 to 1
Alamance Community College,1247 Jimmie Kerr Road, Graham, North Carolina,27253-8000,(336) 578-2002,http://nces.ed.gov/transfer.asp?location=www.alamancecc.edu/,"2-year, Public","Less than one year certificate, One but less than two years certificate, Associates degree",Rural: Fringe,No,"4,037 (all undergraduate)",14 to 1
Alabama State College of Barber Styling,753 Main Street, Gardendale, Alabama,35071,(205) 631-8898,http://nces.ed.gov/transfer.asp?location=www.ascbs.edu/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,6 (all undergraduate),6 to 1
Albertus Magnus College,700 Prospect St, New Haven, Connecticut,06511-1189,(203) 773-8550,http://nces.ed.gov/transfer.asp?sec=true&location=www.albertus.edu/,"4-year, Private not-for-profit","Less than one year certificate, Associates degree, Bachelors degree, Postbaccalaureate certificate, Masters degree, Post-masters certificate",City: Midsize,Yes,"1,384 (1,088 undergraduate)",14 to 1
Alamo City Barber College,8910 Bandera Road Suite 209, San Antonio, Texas,78250-3227,(210) 523-7777,http://nces.ed.gov/transfer.asp?location=www.alamocitybarbercollege.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",City: Large,No,143 (all undergraduate),25 to 1
Albion College,611 E Porter St, Albion, Michigan,49224,(517) 629-1000,http://nces.ed.gov/transfer.asp?location=www.albion.edu/,"4-year, Private not-for-profit",Bachelors degree,Town: Fringe,Yes,"1,506 (all undergraduate)",12 to 1
Albizu University-Miami,2173 N.W. 99th Avenue, Miami, Florida,33172-2209,(305) 593-1223,http://nces.ed.gov/transfer.asp?sec=true&location=www.albizu.edu/,"4-year, Private not-for-profit","One but less than two years certificate, Associates degree, Bachelors degree, Masters degree, Doctors degree - research/scholarship",City: Small,No,802 (146 undergraduate),12 to 1
Alaska Bible College,248 E Elmwood Ave, Palmer, Alaska,99645,(907) 745-3201,http://nces.ed.gov/transfer.asp?location=www.akbible.edu/,"4-year, Private not-for-profit","One but less than two years certificate, Associates degree, Two but less than 4 years certificate, Bachelors degree",Town: Distant,Yes,40 (all undergraduate),6 to 1
